언어명,관광지명,구분,위도 (Latitude),경도 (Longitude)
일본어,北村韓屋村（북촌한옥마을）,역사관광지,37.582841,126.983267
일본어,景福宮（경복궁）,역사관광지,37.579617,126.977041
일본어,広蔵市場（광장시장）,쇼핑,37.570125,126.999015
일본어,青瓦台（청와대）,건축/조형물,37.586216,126.974825
일본어,汝矣島漢江公園（여의도한강공원）,휴양관광지,37.528256,126.934857
일본어,ピョルマダン図書館（별마당도서관）,문화시설,37.512583,127.059013
일본어,盤浦大橋ムーンライト・レインボー噴水（반포대교 달빛무지개분수）,건축/조형물,37.515286,126.995582
일본어,Leeum美術館（리움 미술관）,문화시설,37.538356,126.999743
일본어,東大門デザインプラザ（DDP）（동대문디자인플라자（DDP））,산업관광지,37.566827,127.009363
일본어,盤浦漢江公園（반포한강공원）,휴양관광지,37.510266,126.996167
일본어,駱山公園（낙산공원）,휴양관광지,37.580783,127.00835
일본어,HiKR GROUND（하이커 그라운드）,문화시설,37.568482,126.985953
일본어,南大門市場（남대문시장）,쇼핑,37.559223,126.977662
일본어,狎鴎亭ロデオ通り（압구정 로데오 거리）,체험관광지,37.527318,127.040182
일본어,弘大（홍대）,체험관광지,37.555893,126.923611
일본어,国会議事堂（국회의사당）,건축/조형물,37.531872,126.914207
일본어,徳寿宮（덕수궁）,역사관광지,37.565804,126.975159
일본어,GEBANG SIKDANG（게방식당）,음식점,37.522287,127.032178
일본어,明洞（명동）,체험관광지,37.560934,126.986221
일본어,光化門（광화문）,역사관광지,37.57599,126.976882
일본어,益善洞（익선동）,체험관광지,37.574483,126.990085
일본어,マリオアウトレット（마리오 아울렛）,쇼핑,37.476481,126.887553
일본어,ブルースクエア（블루스퀘어）,문화시설,37.537617,127.000109
일본어,新世界百貨店（本店）（신세계백화점（본점））,쇼핑,37.560734,126.980598
일본어,ソウルの森（서울숲）,휴양관광지,37.544769,127.039845
일본어,GOTO MALL（江南高速ターミナル地下ショッピングモール）（고투몰（강남터미널 지하도상가））,쇼핑,37.505786,127.004835
일본어,ロッテ百貨店（本店）롯데백화점（본점）,쇼핑,37.561474,126.982181
일본어,世宗大王銅像（세종대왕 동상）,건축/조형물,37.572822,126.976999
일본어,昌徳宮と後苑 [ユネスコ世界遺産（文化遺産）]（창덕궁과 후원 [유네스코 세계문화유산]）,역사관광지,37.579434,126.991062
일본어,スターフィールドcoex MALL（스타필드 코엑스몰）,쇼핑,37.511944,127.058889
일본어,カポフットボールストア[韓国観光品質認証](카포 풋볼 스토어[한국관광품질인증/Korea Quality]),쇼핑,37.567825,127.01026
일본어,ロッテワールド（롯데월드）,휴양관광지,37.511115,127.098163
일본어,漢江（한강）,자연관광지,37.546944,126.995556
일본어,明洞餃子（명동교자）,음식점,37.563423,126.984534
일본어,新沙洞カロスキル（신사동 가로수길）,체험관광지,37.520355,127.022982
일본어,仁寺洞（인사동）,체험관광지,37.574444,126.9875
일본어,ロッテワールドタワー＆ロッテワールドモール（롯데월드타워&롯데월드몰）,건축/조형물,37.512559,127.102538
일본어,サムギョプサル專門店 大統領（삼겹살전문점대통령）,음식점,37.57022,126.985002
일본어,ロッテワールドタワー ソウルスカイ（롯데월드타워 서울스카이）,건축/조형물,37.512521,127.102575
일본어,明洞ソソカルビ（명동서서갈비）,음식점,37.56411,126.983999
일본어,コリアハウス（한국의 집）,음식점,37.560662,126.994291
일본어,奨忠体育館（장충체육관）,육상 레포츠,37.558056,127.006667
일본어,セビッソム（세빛섬（some sevit））,휴양관광지,37.512222,126.99525
일본어,TIMES SQUARE（타임스퀘어）,쇼핑,37.5172,126.90375
일본어,清渓川（청계천）,휴양관광지,37.569179,126.977862
일본어,京東市場（경동시장）,쇼핑,37.579628,127.039645
일본어,ロッテアウトレット ソウル駅店[韓国観光品質認証](롯데쇼핑 롯데아울렛 서울역[한국관광품질인증/Korea Quality]),쇼핑,37.555938,126.972175
일본어,宗廟 [ユネスコ世界遺産（文化遺産）]（종묘 [유네스코 세계문화유산]）,역사관광지,37.574722,126.993611
일본어,忠武公 李舜臣銅像（충무공 이순신 동상）,건축/조형물,37.570956,126.977099
일본어,ソウル薬令市場（서울 약령시장）,쇼핑,37.581699,127.035593
일본어,ソウル東大門タッカンマリ通り（서울 동대문 닭한마리 골목）,체험관광지,37.570349,127.005868
일본어,モッミョッサンバン ( 목멱산방 ),음식점,37.554522,126.989069
일본어,ミリオレ（東大門店）（밀리오레（동대문점））,쇼핑,37.568165,127.009139
일본어,現代アイパークモール（현대 아이파크몰）,쇼핑,37.529241,126.964722
일본어,南山ソウルタワー（남산서울타워）,건축/조형물,37.551169,126.988227
일본어,土俗村参鶏湯（토속촌 삼계탕）,음식점,37.577484,126.972235
일본어,国立現代美術館 ソウル（국립현대미술관 서울）,문화시설,37.5785,126.98
일본어,東大門歴史文化公園（동대문역사문화공원）,휴양관광지,37.565637,127.009056
일본어,陳玉華ハルメ元祖タッカンマリ（진옥화할매원조닭한마리）,음식점,37.570417,127.006111
일본어,明洞観光情報センター（명동관광정보센터）,체험관광지,37.563229,126.985556
일본어,世宗ホテル（세종호텔）,숙박시설,37.561111,126.985833
일본어,サムジキル（쌈지길）,체험관광지,37.57426,126.985033
일본어,昌慶宮（창경궁）,역사관광지,37.57843,126.99598
일본어,南山コル韓屋村（남산골한옥마을）,역사관광지,37.559133,126.993685
일본어,黄金牧場 明洞聖堂 ( 황금목장 명동성당 ),음식점,37.563056,126.987778
일본어,光化門広場（광화문광장）,휴양관광지,37.575931,126.976843
일본어,梨泰院ショッピング通り（이태원 쇼핑거리）,체험관광지,37.534281,126.994119
일본어,徳寿宮石垣道（덕수궁 돌담길）,체험관광지,37.565985,126.974465
일본어,オリンピック公園（올림픽공원）,휴양관광지,37.5207,127.1227
일본어,瑞源（서원）,음식점,37.4782,126.933
일본어,芸術の殿堂（예술의전당）,문화시설,37.478648,127.011629
일본어,東大門総合市場・ショッピングタウン（동대문 종합시장·동대문 쇼핑타운）,쇼핑,37.570497,127.007889
일본어,キッザニアソウル（키자니아 서울）,체험관광지,37.509722,127.098889
일본어,ホテルリベラ（호텔 리베라）,숙박시설,37.518611,127.049444
일본어,北村八景（북촌 8경）,역사관광지,37.583541,126.973768
일본어,西大門刑務所歴史館（서대문형무소역사관）,문화시설,37.574676,126.9561
일본어,ザ・リバーサイドホテル（더리버사이드 호텔）,숙박시설,37.511389,127.019722
일본어,鐘路3街貴金属専門商店街（종로3가 귀금속 전문상가）,쇼핑,37.57,126.9925
일본어,曹渓寺（ソウル）（조계사（서울））,역사관광지,37.573914,126.985792
일본어,シャルロッテシアター（샤롯데씨어터）,문화시설,37.510793,127.096338
일본어,望遠市場（망원시장）,쇼핑,37.556272,126.908027
일본어,徳寿宮大漢門（덕수궁 대한문）,역사관광지,37.565985,126.974465
일본어,IFC MALL（IFC몰）,쇼핑,37.525112,126.925576
일본어,徳寿宮王宮守門将交代儀式（덕수궁 왕궁수문장교대의식）,공연/행사,37.565985,126.974465
일본어,西村マウル（서촌마을）,체험관광지,37.580453,126.970105
일본어,ソンビオク（선비옥）,음식점,37.585556,126.963889
일본어,ノドゥル島（노들섬）,체험관광지,37.517778,126.96
일본어,南大門アクセサリー商店街（남대문 액세사리상가）,쇼핑,37.558963,126.978696
일본어,筆洞麺屋（필동면옥）,음식점,37.56,126.994722
일본어,ハムチョカンジャンケジャン（함초간장게장）,음식점,37.520556,127.026111
일본어,イーランドクルーズ（漢江遊覧船）（이랜드크루즈（한강유람선））,휴양관광지,37.528091,126.934444
일본어,ロッテホテルソウル（롯데호텔서울）,숙박시설,37.565278,126.980278
일본어,ブルデン子ども服商店街（부르뎅 아동복（Burdeng））,쇼핑,37.559916,126.978416
일본어,ソウルワールドカップ競技場（서울월드컵경기장）,육상 레포츠,37.5682,126.8972
일본어,黄生家カルグクス（황생가칼국수）,음식점,37.581667,126.983056
일본어,北岳山（북악산）,자연관광지,37.592907,126.973547
일본어,国立中央博物館（국립중앙박물관）,문화시설,37.523889,126.980278
일본어,ロッテ免税店（本店）（롯데면세점（본점））,쇼핑,37.561474,126.982181
일본어,ロッテワールドショッピングモール（롯데월드 쇼핑몰）,쇼핑,37.511394,127.098254
일본어,ソウル総合運動場（蚕室総合運動場）（서울종합운동장（잠실종합운동장））,육상 레포츠,37.515278,127.072778